,average_bifurcation_angle_local,average_bifurcation_angle_remote,average_contraction,average_diameter,average_fragmentation,average_parent_daughter_ratio,hausdorff_dimension,id,max_branch_order,max_euclidean_distance,max_path_distance,neuron_reconstruction_type,number_bifurcations,number_branches,number_nodes,number_stems,number_tips,overall_depth,overall_height,overall_width,scale_factor_x,scale_factor_y,scale_factor_z,soma_surface,specimen_id,total_length,total_surface,total_volume
256,75.0544164502,,0.916254843354,0.522126839678,66.5647058824,0.998116637916,,605872798,8.0,415.960031163,527.290557622,full,43,93,5777,7,50,177.45,596.919442186,506.330422584,0.1144,0.1144,0.28,426.815609812,528602977,7228.16923644,11918.879429,1673.45089441
257,66.6059614828,,0.84942034268,0.427836240663,47.5,0.92594911933,,491119592,7.0,536.186484809,596.799533997,dendrite-only,34,78,3399,10,44,112.4508,620.486862285,309.179734391,0.1144,0.1144,0.28,515.443685632,314831019,4006.93187123,5379.49739509,642.658848429
258,61.0775392498,,0.935777977523,0.232070021889,69.5769230769,0.876904616276,,491770923,6.0,237.928981019,245.11869089,dendrite-only,13,31,2033,5,18,61.054,317.941907593,208.640402052,0.1144,0.1144,0.28,234.62887369,478888083,2354.81266592,1720.5444726,106.441959202
259,78.1493963569,,0.903645739253,0.736788052223,84.0320512821,0.984763586064,,599474317,17.0,808.965139348,928.855885265,full,78,165,13253,9,87,124.6061,1023.82037984,569.400946341,0.1144,0.1144,0.28,1038.62401174,530062215,15558.7603388,37182.2841021,8482.06140089
260,74.0642433026,,0.910577894266,0.190385560842,48.8214285714,0.937394630628,,491796267,10.0,521.646324477,570.12833114,dendrite-only,42,95,4473,11,53,150.3622,648.076887716,286.732108477,0.1144,0.1144,0.28,111.84605294,476048909,5338.53273531,3194.57304493,156.969853896
261,78.7603248293,,0.87322246148,0.336519609212,50.9555555556,0.874081129042,,491771215,6.0,291.978915158,305.631788015,dendrite-only,45,98,4785,8,53,76.603,499.151947946,313.905485011,0.1144,0.1144,0.28,1582.97737344,473011949,5626.2092675,5943.30203311,551.075975811
262,71.3006043084,,0.845900877489,0.896801896649,99.7380952381,0.930432608365,,601947670,8.0,1042.45317093,1201.08680055,full,21,48,4260,6,27,134.9334,1307.90464774,519.473713066,0.1144,0.1144,0.28,631.711079662,527942865,5411.47931733,15266.5960422,3602.73346534
263,76.1514771551,,0.869336089518,0.518321971666,69.5377358491,0.950609078842,,603515613,14.0,401.028502148,453.78337033,full,53,113,7464,7,60,134.6128,497.621797452,520.902894722,0.1144,0.1144,0.28,541.528497376,576107598,8619.83694798,14026.4210392,2183.4445049
264,65.2008655067,,0.915368142158,0.363592344243,21.1666666667,0.846701833218,,491120359,6.0,386.587717433,419.236852171,dendrite-only,18,39,787,3,21,81.1168,627.546519974,202.643458133,0.1144,0.1144,0.28,317.712491827,327644217,2194.76220488,2519.81296812,248.043268682
265,72.9700364483,,0.866737399628,0.376375714105,64.7608695652,0.852314285207,,552624540,10.0,521.040114303,609.090185141,full,46,99,6084,7,53,53.7558,695.283778417,445.192702093,0.1144,0.1144,0.28,443.507177102,508378649,6934.6457789,8214.79651874,872.317613517
